Number;Taxon;Age;Clade;Formation;Reference;FABL;CH;BW;ADL;PDL
a1;John Henry Aves;Aquilan;Aves;John Henry;this study;0.88;1.64;0.6;0;0
a2;John Henry Aves;Aquilan;Aves;John Henry;this study;0.96;1.74;;;0
a3;John Henry Aves;Aquilan;Aves;John Henry;this study;0.89;1.59;0.47;0;0
a4;John Henry Aves;Aquilan;Aves;John Henry;this study;1.62;1.96;0.6;0;0.11627907
a5;John Henry Aves;Aquilan;Aves;John Henry;this study;1.44;1.63;0.76;0.075757576;0.095238095
a6;John Henry Aves;Aquilan;Aves;John Henry;this study;1.16;1.05;0.65;0;0.087719298
a7;John Henry Aves;Aquilan;Aves;John Henry;this study;1.51;2.12;0.63;0;0.094339623
a8;John Henry Aves;Aquilan;Aves;John Henry;this study;1.21;;0.72;0;0.11627907
a9;John Henry Aves;Aquilan;Aves;John Henry;this study;0.74;1.29;0.56;0;0
a10;John Henry Aves;Aquilan;Aves;John Henry;this study;0.84;1.29;0.36;0;0
a11;John Henry Aves;Aquilan;Aves;John Henry;this study;1.16;1.6;0.52;0;0
a12;John Henry Aves;Aquilan;Aves;John Henry;this study;1.12;1.13;0.51;0;0
a13;John Henry Aves;Aquilan;Aves;John Henry;this study;1.02;1.58;0.39;0;0
a14;John Henry Aves;Aquilan;Aves;John Henry;this study;1.01;1.88;0.42;0;0
a15;John Henry Aves;Aquilan;Aves;John Henry;this study;0.97;1.81;0.72;0;0
a16;John Henry Aves;Aquilan;Aves;John Henry;this study;0.95;1.31;0.52;0;0
a17;John Henry Aves;Aquilan;Aves;John Henry;this study;1.2;1.54;0.65;0;0
a18;John Henry Aves;Aquilan;Aves;John Henry;this study;0.86;1.34;0.61;0;0
a19;John Henry Aves;Aquilan;Aves;John Henry;this study;0.91;1.24;0.56;0;0
a20;John Henry Aves;Aquilan;Aves;John Henry;this study;1.13;1.3;0.58;0;0
a21;John Henry Aves;Aquilan;Aves;John Henry;this study;1.32;1.99;0.76;0;0
a22;John Henry Aves;Aquilan;Aves;John Henry;this study;0.84;1.08;0.63;0;0
a23;John Henry Aves;Aquilan;Aves;John Henry;this study;1.26;2.16;0.43;0;0.107526882
a24;John Henry Aves;Aquilan;Aves;John Henry;this study;1.4;1.66;0.42;0;0.12345679
a25;John Henry Aves;Aquilan;Aves;John Henry;this study;1.09;2.02;0.63;0;0
a26;John Henry Aves;Aquilan;Aves;John Henry;this study;1.43;1.67;0.61;0;0.120481928
a27;John Henry Aves pmx;Aquilan;Aves;John Henry;this study;0.83;1.55;0.71;0;0
a28;John Henry Aves pmx;Aquilan;Aves;John Henry;this study;0.72;1.5;0.59;0;0
a29;John Henry Aves pmx;Aquilan;Aves;John Henry;this study;0.75;1.66;0.51;0;0
a30;John Henry Aves pmx;Aquilan;Aves;John Henry;this study;0.78;1.45;0.56;0;0
a31;John Henry Dromaeosaurinae;Aquilan;Dromaeosauridae;John Henry;this study;3.19;;;0.147058824;0.169491525
a32;John Henry Dromaeosaurinae;Aquilan;Dromaeosauridae;John Henry;this study;5.09;;2.55;;0.188679245
a33;John Henry Dromaeosaurinae;Aquilan;Dromaeosauridae;John Henry;Larson and Currie 2013;3.97;4.44;2.15;0.142857143;0.196078431
a34;John Henry Dromaeosaurinae;Aquilan;Dromaeosauridae;John Henry;this study;2.85;;1.16;;0.243902439
a35;John Henry Saurornitholestinae;Aquilan;Dromaeosauridae;John Henry;this study;3.3;;1.41;0.088495575;0.172413793
a36;John Henry Paronychodon lacustris II;Aquilan;Paronychodon;John Henry;this study;1.52;3.26;1.23;0;0
a37;John Henry Paronychodon lacustris IV;Aquilan;Paronychodon;John Henry;this study;1.39;3;1.26;0;0
a38;John Henry cf. Richardoestesia gilmorei;Aquilan;Richardoestesia;John Henry;this study;3.2;;1.7;;0.098039216
a39;John Henry cf. Richardoestesia gilmorei;Aquilan;Richardoestesia;John Henry;this study;2.2;;0.92;0.12195122;0.161290323
a40;John Henry cf. Richardoestesia gilmorei;Aquilan;Richardoestesia;John Henry;Larson and Currie 2013;2.68;3.3;1.36;;0.12195122
a41;John Henry cf. Richardoestesia gilmorei;Aquilan;Richardoestesia;John Henry;Larson and Currie 2014;2.31;2.79;1.15;0.105263158;0.12195122
a42;John Henry cf. Richardoestesia gilmorei;Aquilan;Richardoestesia;John Henry;Larson and Currie 2015;3.49;4.42;1.62;0;0.142857143
a43;John Henry cf. Richardoestesia gilmorei;Aquilan;Richardoestesia;John Henry;Larson and Currie 2016;3.32;5.58;1.8;0;0.15625
a44;John Henry cf. Richardoestesia gilmorei;Aquilan;Richardoestesia;John Henry;this study;2.09;;1.17;0.102040816;0.161290323
a45;John Henry cf. Richardoestesia gilmorei;Aquilan;Richardoestesia;John Henry;Larson and Currie 2016;1.82;2.21;0.71;0;0.12987013
a46;John Henry cf. Richardoestesia gilmorei;Aquilan;Richardoestesia;John Henry;Larson and Currie 2016;2.05;2.38;0.75;0.108695652;0.131578947
a47;John Henry cf. Richardoestesia gilmorei;Aquilan;Richardoestesia;John Henry;this study;1.87;;0.8;;0.12195122
a48;John Henry cf. Richardoestesia gilmorei;Aquilan;Richardoestesia;John Henry;Larson and Currie 2016;3.62;5.78;1.42;0.161290323;0.149253731
a49;John Henry cf. Richardoestesia gilmorei;Aquilan;Richardoestesia;John Henry;Larson and Currie 2016;3.68;6.63;2;0;0.151515152
a50;John Henry cf. Richardoestesia isosceles;Aquilan;Richardoestesia;John Henry;this study;1.98;;0.97;;0.094339623
a51;John Henry cf. Richardoestesia isosceles;Aquilan;Richardoestesia;John Henry;Larson and Currie 2016;1.88;5.01;1.12;0;0.092592593
a52;John Henry cf. Richardoestesia isosceles;Aquilan;Richardoestesia;John Henry;Larson and Currie 2016;3.1;8.27;1.62;0.088495575;0.12345679
a53;John Henry cf. Richardoestesia isosceles;Aquilan;Richardoestesia;John Henry;this study;4.45;;2.24;0.113636364;0.12987013
a54;John Henry cf. Richardoestesia isosceles;Aquilan;Richardoestesia;John Henry;Larson and Currie 2016;2.47;6.18;1.39;0.091743119;0
a55;John Henry cf. Richardoestesia isosceles;Aquilan;Richardoestesia;John Henry;Larson and Currie 2016;2.5;5.53;1.35;0;0.090909091
a56;Straight Cliffs Theropoda indet.;Aquilan;;John Henry;Farlow et al. 1991;3;;1.3;;0.166666667
a57;Straight Cliffs Theropoda indet.;Aquilan;;John Henry;Farlow et al. 1991;1.8;;0.6;;0.125
a58;Milk River cf. Aves;Aquilan;Aves;Milk River;Larson 2008;2.44;5.4;1.12;0;0
a59;Milk River cf. Aves;Aquilan;Aves;Milk River;Larson 2008;1.84;3.74;1.2;0;0
a60;Milk River cf. Aves;Aquilan;Aves;Milk River;Larson 2008;1.6;;0.88;0;0.1
a61;Milk River cf. Aves;Aquilan;Aves;Milk River;Larson 2008;2.48;2.6;1.42;0.2;0.4
a62;Milk River cf. Aves;Aquilan;Aves;Milk River;Larson 2008;2.66;;1.32;0;0
a63;Milk River cf. Aves;Aquilan;Aves;Milk River;Larson 2008;1.6;3.56;0.58;0;0
a64;Milk River cf. Aves;Aquilan;Aves;Milk River;Larson 2008;1.88;2.32;1.16;0;0
a65;Milk River cf. Aves;Aquilan;Aves;Milk River;Larson 2008;2.48;;1.36;0;0
a66;Milk River cf. Aves;Aquilan;Aves;Milk River;Larson 2008;2.48;;1.5;0;0
a67;Milk River cf. Aves;Aquilan;Aves;Milk River;Larson 2008;2.08;4.69;1.32;0;0
a68;Milk River cf. Aves;Aquilan;Aves;Milk River;Larson 2008;2.48;;1.22;0;0
a69;Milk River cf. Aves;Aquilan;Aves;Milk River;Larson 2008;2.91;;1.68;0;0
a70;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.32;5.312;1.8;0.142857143;0.222222222
a71;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.44;4.731;2.04;0;0.25
a72;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.897;8.217;2.4;;0.243902439
a73;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.063;;2.4;;0.212765957
a74;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.905;5.644;2.16;;0.243902439
a75;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.739;5.312;2.28;;0.212765957
a76;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.075;4.814;1.96;;0.206185567
a77;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.241;4.98;1.74;0;0.192307692
a78;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.565;;1.78;;0.212765957
a79;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.897;;2.48;0.076923077;0.204081633
a80;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.822;5.81;2.16;;0.23255814
a81;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.988;5.229;2.28;;0.208333333
a82;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.735;;1.7;;0.2
a83;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.158;;1.4;;0.204081633
a84;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.324;4.233;1.58;;0.204081633
a85;Milk River cf. Zapsalis;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;7.055;1.64;;0.23255814
a86;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.561;;2.8;0.333333333;0.263157895
a87;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.425;8.575;3.08;0.142857143;0.25
a88;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.818;4.565;2.36;0.25;0.277777778
a89;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.04;2.12;1.06;0.333333333;0.25
a90;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;7.525;9.975;3.84;0.166666667;0.285714286
a91;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;8.75;17.325;4.067;0.285714286;0.333333333
a92;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;8.663;;4.482;;0.307692308
a93;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;7.387;;3.64;;0.277777778
a94;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.561;;2.72;0.222222222;0.303030303
a95;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.818;;1.92;0.23255814;0.235294118
a96;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;7.525;;3.984;0.263157895;0.344827586
a97;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;9.975;;4.565;0.294117647;0.333333333
a98;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.6;;2.24;0.229885057;0.303030303
a99;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;7.2;;3.8;;0.277777778
a100;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;;2.2;;0.25
a101;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.8;;2.28;0.25;0.3125
a102;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;7.553;;3.72;0.243902439;0.3125
a103;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;7.7;;3.6;0.243902439;0.285714286
a104;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.731;;2.2;;0.25
a105;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.15;;1.76;;0.294117647
a106;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;7.875;14;4.897;0.25;0.285714286
a107;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.818;4.15;1.86;0.113636364;0.25
a108;Milk River Dromaeosauridae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.81;6.391;3.04;0.181818182;0.25
a109;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.984;;2.96;;0.2
a110;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.984;;1.8;;0.222222222
a111;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.897;;1.96;;0.2
a112;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;6.3;9.1;2.8;0.2;0.25
a113;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.312;;2.04;0.128205128;0.204081633
a114;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.316;5.229;2.4;0.166666667;0.2
a115;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;7.387;;3.88;;0.25
a116;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.478;11.55;3.403;;0.243902439
a117;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.897;7.387;1.96;0.142857143;0.2
a118;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.32;6.64;1.62;0;0.2
a119;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.735;5.063;1.56;0.153846154;0.222222222
a120;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.312;5.644;2.44;0.142857143;0.23255814
a121;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;6.723;;4.98;;0.277777778
a122;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.646;;3;;0.25
a123;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.403;;1.82;;0.2
a124;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;6.557;;3.2;0.153846154;0.277777778
a125;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.316;4.897;2.36;0.181818182;0.217391304
a126;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;8.575;15.925;5.063;0.2;0.25
a127;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.15;4.731;1.88;;0.2
a128;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.735;4.067;1.52;0.133333333;0.222222222
a129;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.901;;1.56;;0.222222222
a130;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.486;;1.2;;0.2
a131;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.399;;1.64;0.142857143;0.2
a132;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;6.391;;2.905;;0.25
a133;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.6;9.5;3;0.2;0.27027027
a134;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.158;4.897;1.52;;0.227272727
a135;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.237;;1.56;;0.196078431
a136;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.486;4.731;1.6;0.135135135;0.222222222
a137;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.984;;1.68;;0.192307692
a138;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.731;8.051;3;;0.2
a139;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.486;;1.78;0.125;0.2
a140;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.316;7.055;1.88;0.106382979;0.217391304
a141;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.814;;1.84;0.147058824;0.196078431
a142;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;5.063;;2.04;;0.2
a143;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.901;;1.74;;0.2
a144;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.3;3.4;1.2;0.125;0.2
a145;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;6.3;;2.6;;0.25
a146;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.316;;1.92;0.151515152;0.192307692
a147;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;7.525;8.225;4.233;0.23255814;0.263157895
a148;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;7.35;;5.063;0.23255814;0.25
a149;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;7;;3.6;0.185185185;0.185185185
a150;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;8.75;11.375;6.557;;0.217391304
a151;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;5.312;1.7;;0.196078431
a152;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.486;;1.84;0.125;0.222222222
a153;Milk River Dromaeosaurinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.403;6.972;1.78;0.142857143;0.2
a154;Milk River Dromaeosaurinae pmx;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.656;4.98;2.32;0;0.217391304
a155;Milk River Dromaeosaurinae pmx;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.656;3.818;2.2;;0.243902439
a156;Milk River Dromaeosaurinae pmx;Aquilan;Dromaeosauridae;Milk River;Larson 2008;1.992;;1.44;;0.2
a157;Milk River Dromaeosaurinae pmx;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.739;5.727;2;0.166666667;0.235294118
a158;Milk River Dromaeosaurinae pmx;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.814;;2.76;;0.243902439
a159;Milk River Dromaeosaurinae pmx;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.698;;2.04;0.181818182;0.212765957
a160;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.15;;1.8;;0.2
a161;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.316;;1.96;0.142857143;0.222222222
a162;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.482;;1.52;;0.2
a163;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.735;;1.48;;0.181818182
a164;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.237;;1.6;;0.2
a165;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.154;;1.16;;0.166666667
a166;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;;6.557;1.83;0.1;0.2
a167;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.04;;1.22;0.133333333;0.2
a168;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.403;;1.8;;0.2
a169;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3;;1.36;;0.166666667
a170;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.8;;1.08;0.111111111;0.2
a171;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.735;5.893;1.72;0.125;0.2
a172;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.15;6.391;1.76;0.142857143;0.25
a173;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;1.84;2.2;0.84;0.090909091;0.166666667
a174;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.984;;1.72;0.125;0.19047619
a175;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.32;;1.6;0.111111111;0.2
a176;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.901;;1.6;;0.166666667
a177;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.4;0.142857143;0.166666667
a178;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.482;;1.72;0.142857143;0.166666667
a179;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.486;5.478;1.76;0.105263158;0.166666667
a180;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.988;;1.36;0.136986301;0.2
a181;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.233;;1.76;0.117647059;0.181818182
a182;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.399;;1.72;0.153846154;0.2
a183;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.32;;1.6;;0.222222222
a184;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.652;;1.68;;0.2
a185;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.49;4.814;1.28;0.111111111;0.2
a186;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.947;;1.24;0.1;0.173913043
a187;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.154;5.395;1.44;0.142857143;0.173913043
a188;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.636;3.403;1.16;0.125;0.2
a189;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.8;;1.3;;0.166666667
a190;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.154;;1.5;0.181818182;0.2
a191;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.12;;1.36;;0.142857143
a192;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.08;2.32;1;0.111111111;0.166666667
a193;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.569;;1.3;0.090909091;0.173913043
a194;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.84;;1.5;;0.2
a195;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.403;4.98;1.48;0.125;0.2
a196;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.739;4.399;1.1;0.12195122;0.158730159
a197;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.28;2.64;1.16;0.147058824;0.222222222
a198;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;;;1.8;0.142857143;0.2
a199;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.486;;1.76;0.142857143;0.188679245
a200;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.4;;1.2;0.125;0.166666667
a201;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.36;;0.92;0.125;0.222222222
a202;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.4;3.403;1.26;0.117647059;0.19047619
a203;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.316;6.474;1.66;0.158730159;0.222222222
a204;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.154;3.984;1.3;0.105263158;0.181818182
a205;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.067;7.221;1.62;0.153846154;0.2
a206;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.569;4.482;1.52;0.125;0.2
a207;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.399;6.889;1.68;0.090909091;0.181818182
a208;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.901;5.478;1.76;0.1;0.2
a209;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;4.233;4.482;1.88;0.125;0.23255814
a210;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.72;3.72;1.1;0.11627907;0.19047619
a211;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.739;5.063;1.12;0.1;0.153846154
a212;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.905;4.897;1.12;0.125;0.173913043
a213;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.08;3.237;1.24;0.131578947;0.217391304
a214;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.44;3.6;1.12;0.111111111;0.153846154
a215;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.12;3.76;1.18;0.111111111;0.166666667
a216;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.8;3.12;1.32;0.1;0.181818182
a217;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.08;2.52;0.88;0.1;0.125
a218;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2;;1.12;0.111111111;0.153846154
a219;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.4;2.68;1.18;;0.175438596
a220;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2;2.72;0.86;0.125;0.125
a221;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.905;;1.16;;0.131578947
a222;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;2.88;;1.28;0.111111111;0.181818182
a223;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;5.146;1.56;0.1;0.19047619
a224;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.901;;1.66;0.153846154;0.2
a225;Milk River Saurornitholestinae;Aquilan;Dromaeosauridae;Milk River;Larson 2008;3.071;;1.18;0.105263158;0.188679245
